id,external_id,title,channel,duration_seconds,stratum_format,stratum_duration,sampling_source,v_tiene_transcripcion,v_fuente_transcripcion,v_transcripcion_auto,v_palabras_por_signo,v_tiene_puntuacion,v_cobertura_transcripcion,v_transcripcion_completa,v_tiene_metadatos,v_tiene_descripcion,v_apto_panel,ritmo_ppm,ritmo_cv,p_tramo_silencioso,palabras_por_frase,preguntas_1000w,mattr_200,p_palabras_contenido,hapax_ratio,long_media_palabra,muletillas_1000w,cifras_100w,anios_1000w,porcentajes_1000w,unidades_1000w,atribucion_1000w,conectores_1000w,matizadores_1000w,absolutos_1000w,ratio_matiz_absoluto,marcadores_estructura_1000w,capitulos_10min,tiene_indice,cta_1000w,patrocinio_1000w,anticipacion_1000w,promocional_1000w,enlaces_total,enlaces_externos,enlaces_fuente,tiene_fuentes_externas,desc_caracteres,desc_timestamps,titulo_palabras_clave,cobertura_titulo,foco_promesa,densidad_tema_100w,n_tags,titulo_p_mayusculas,titulo_exclamaciones,titulo_es_pregunta,titulo_superlativos,titulo_numero_lista,titulo_banderas,et_porcion,et_formato,et_caducidad,et_promesa,et_trazabilidad,et_navegabilidad,et_calidad_dato,et_idioma,et_categoria_yt
27,RdmcXQkvo08,¿Por qué NADIE visita Paraguay? 🇵🇾 El país olvidado de Sudamérica,PlanetaJuan,1674.0,practico_personal,medio,,1,youtube_auto,1,14.4,1,1.19,1,1,1,1,178.1,0.142,0.0,14.4,4.23,0.6072,0.453,0.68,4.45,11.07,2.64,0.81,0.6,3.82,1.21,8.45,2.82,2.62,1.064,1.41,0.0,0,0.0,0.2,0.2,0.2,8,4,0,1,756,0,6,0.667,0.002,1.75,2,0.176,0,1,0,0,0,medio,explicativo,perenne,pregunta,con_enlaces_externos,bloque_continuo,transcripcion_automatica,es,People & Blogs
11,TSLJFXNDS44,QUÉ VA A PASAR CON RIQUELME? | #ParenLaMano Completo - 01/06 | VORTERIX,Vorterix,6425.0,entretenimiento,largo,,1,youtube_auto,1,8.7,1,1.1,1,1,1,1,165.5,0.179,0.009,8.7,13.94,0.5466,0.464,0.581,4.08,23.81,1.85,0.34,0.0,2.2,0.45,8.75,1.19,8.18,0.195,0.06,1.03,1,0.0,0.06,0.23,0.06,8,2,1,1,2040,11,5,0.4,0.089,0.1,30,0.694,0,1,0,0,1,muy_largo,conversacion_larga,perecedero,pregunta,con_fuentes_verificables,con_indice,transcripcion_automatica,es,Entertainment
48,BM0c465sX3Q,Jordania 1 – 2 Argelia | Resumen Copa Mundial de la FIFA 2026™,@Replay,306.0,deporte_gaming,corto,,0,ninguna,0,,0,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,0.0,0,,,,,1,0,0,0,585,0,7,,,,11,0.22,0,0,0,0,0,corto,resumen_evento,perecedero,declarativa,solo_enlaces_propios,bloque_continuo,sin_transcripcion,es,Sports
50,GOqxZx4XEFU,"PADRE BOLUDO, HIJO BOLUDO #1 con ROBERTO y EIAL MOLDAVSKY",Corta,2824.0,informativo,largo,,1,youtube_auto,1,14.9,1,0.92,1,1,1,1,138.3,0.228,0.011,14.9,10.45,0.5772,0.436,0.692,4.02,28.28,2.29,0.15,0.0,2.0,0.0,11.53,1.84,8.45,0.261,0.0,1.49,1,0.0,0.0,0.31,0.0,1,0,0,0,687,6,7,0.667,0.005,0.6,21,0.911,0,0,0,0,1,largo,conversacion_larga,perenne,declarativa,solo_enlaces_propios,con_indice,transcripcion_automatica,es,News & Politics
15,yHRuRH0AK3Y,¿EL FIN DEL PETRISMO? el candidato que lo enfrenta fue abogado del chavismo - @SoloFonseca,Solo Fonseca,1599.0,informativo,medio,,1,youtube_manual,0,14.8,1,0.87,1,1,1,1,130.2,0.42,0.074,14.8,7.78,0.6097,0.463,0.717,4.54,7.2,3.11,2.88,0.58,4.32,1.44,6.91,0.58,4.32,0.224,1.44,0.0,0,0.29,0.0,0.29,0.29,4,1,0,1,1828,0,6,0.667,0.004,0.69,21,0.25,0,1,0,0,0,medio,actualidad,perecedero,pregunta,con_enlaces_externos,bloque_continuo,transcripcion_humana,es,News & Politics
51,fwpF33rYgTo,LA DERECHA ARRASA EN LATINOAMÉRICA y Fujimori es el último ejemplo de una tendencia - @SoloFonseca,Solo Fonseca,1277.0,informativo,medio,,1,youtube_auto,1,16.0,1,1.24,1,1,1,1,185.8,0.128,0.0,16.0,7.84,0.6357,0.483,0.717,4.56,8.35,3.39,4.3,2.28,5.06,1.26,11.13,1.77,4.55,0.45,1.01,0.0,0,1.01,0.0,0.0,1.01,11,8,4,1,2535,0,8,0.375,0.019,0.83,21,0.407,0,0,0,0,0,medio,actualidad,perecedero,declarativa,con_fuentes_verificables,bloque_continuo,transcripcion_automatica,es,News & Politics
53,bohdsI0KghI,Panamá 0 – 1 Croacia | Resumen Copa Mundial de la FIFA 2026™,@Replay,306.0,deporte_gaming,corto,,0,ninguna,0,,0,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,0.0,0,,,,,1,0,0,0,562,0,7,,,,10,0.231,0,0,0,0,0,corto,resumen_evento,perecedero,declarativa,solo_enlaces_propios,bloque_continuo,sin_transcripcion,es,Sports
29,ViPBeSf1t4g,Arabia Saudita 1 – 1 Uruguay | Resumen Copa Mundial de la FIFA 2026™,@Replay,306.0,deporte_gaming,corto,,0,ninguna,0,,0,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,0.0,0,,,,,1,0,0,0,584,0,8,,,,10,0.217,0,0,0,0,0,corto,resumen_evento,perecedero,declarativa,solo_enlaces_propios,bloque_continuo,sin_transcripcion,es,Sports
56,OKJyP79f-5k,Escocia 0 – 3 Brasil | Resumen Copa Mundial de la FIFA 2026™,@Replay,306.0,deporte_gaming,corto,,0,ninguna,0,,0,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,0.0,0,,,,,1,0,0,0,580,0,7,,,,16,0.231,0,0,0,0,0,corto,resumen_evento,perecedero,declarativa,solo_enlaces_propios,bloque_continuo,sin_transcripcion,es,Sports
58,qGGKfRdgfRk,Sudáfrica 1 – 0 Corea del Sur | Resumen Copa Mundial de la FIFA 2026™,@Replay,306.0,deporte_gaming,corto,,0,ninguna,0,,0,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,0.0,0,,,,,1,0,0,0,622,0,7,,,,12,0.217,0,0,0,0,0,corto,resumen_evento,perecedero,declarativa,solo_enlaces_propios,bloque_continuo,sin_transcripcion,es,Sports
