external_id,title,channel,formato,duracion,minutos,ritmo_ppm,pct_ritmo_ppm,est_ritmo_ppm,cifras_100w,pct_cifras_100w,est_cifras_100w,atribucion_1000w,pct_atribucion_1000w,est_atribucion_1000w,mattr_200,pct_mattr_200,est_mattr_200,conectores_1000w,pct_conectores_1000w,est_conectores_1000w,enlaces_externos,pct_enlaces_externos,est_enlaces_externos,promocional_1000w,pct_promocional_1000w,est_promocional_1000w,cobertura_titulo,pct_cobertura_titulo,est_cobertura_titulo
v8XaJQcyh2k,SE VIENE EL DESCONTROL EN ESTADOS UNIDOS | #ParenLaMano Completo - 09/06 | VORTERIX,Vorterix,entretenimiento,largo,106.6,153.5,56.0,medido,2.67,90.0,medido,0.0,,ausente,0.5481,32.0,medido,7.28,37.0,medido,3,77.0,presente,0.0,,ausente,0.429,34.0,medido
clR2HQ_QKAs,ARMENIA SE ALEJA DE RUSIA y Putin no puede hacer nada - @SoloFonseca,Solo Fonseca,informativo,medio,25.5,121.2,25.0,medido,2.36,60.0,medido,0.65,38.0,presente,0.659,99.0,medido,7.76,39.0,medido,6,85.0,presente,0.65,37.0,presente,0.6,34.0,medido
SEdI-7bn6io,VENEZUELA se APAGA... y Trump quiere poner un parche - @SoloFonseca,Solo Fonseca,informativo,largo,32.5,185.7,86.0,medido,2.5,64.0,medido,0.33,20.0,presente,0.6186,89.0,medido,11.78,69.0,medido,7,85.0,presente,1.0,56.0,presente,0.714,45.0,medido
UVvb4kS8jak,IRÁN DERROTA A TRUMP… sin ganar la guerra - @SoloFonseca,Solo Fonseca,informativo,largo,30.9,193.5,91.0,medido,3.04,81.0,medido,0.5,26.0,presente,0.6126,85.0,medido,11.21,66.0,medido,1,55.0,presente,0.67,38.0,presente,0.667,43.0,medido
i8yqCdI8NdQ,EL MAYOR ERROR DE TRUMP: así ha terminado cediendo ante Irán - @SoloFonseca,Solo Fonseca,informativo,medio,22.9,200.8,94.0,medido,1.96,42.0,medido,0.44,25.0,presente,0.617,89.0,medido,14.8,84.0,medido,2,71.0,presente,1.09,62.0,presente,0.714,45.0,medido
KgB1af0RLRw,Suiza vs Canadá  (2-1) | Resumen y goles | Highlights Copa Mundial de la FIFA 2026™,DAZN ES,deporte_gaming,corto,3.5,159.8,63.0,medido,1.08,10.0,medido,0.0,,ausente,0.5981,73.0,medido,7.22,37.0,medido,3,80.0,presente,0.0,,ausente,0.333,11.0,medido
YU3PbQj4JJc,REBORD Y LA VERDAD SOBRE BLENDER - MOVISTAR ARENA HAGOVERO EL 19 DE OCTUBRE,Tomás Rebord,informativo,largo,129.7,148.8,52.0,medido,1.84,38.0,medido,0.47,26.0,presente,0.5554,39.0,medido,11.61,68.0,medido,1,55.0,presente,0.0,,ausente,0.857,71.0,medido
P4tUwyG2KKQ,ANÁLISIS FUTBORDISTICO: ARGENTINA - INGLATERRA | SE VIENE ESPAÑA,Tomás Rebord,informativo,largo,53.0,139.6,43.0,medido,1.43,20.0,medido,0.27,10.0,presente,0.5149,13.0,medido,7.16,36.0,medido,1,55.0,presente,0.68,39.0,presente,0.833,64.0,medido
Pw9-k5i7Bz4,Así es la Nueva Ciudad Privada de Elon Musk,HiClavero,entretenimiento,medio,21.3,179.8,81.0,medido,0.18,2.0,medido,0.0,,ausente,0.595,72.0,medido,0.0,3.0,medido,1,60.0,presente,0.0,,ausente,0.4,32.0,medido
6IPdfw08qDM,"🔴 EN VIVO | LA CASA DEL KUN CON EL POLLO, LAVEZZI, GALLARDO, TEVEZ, FALCAO Y RUGGERI | MUNDIAL 2026",ESPN Fans,deporte_gaming,largo,89.8,163.5,66.0,medido,1.88,45.0,medido,0.0,,ausente,0.5245,16.0,medido,12.53,73.0,medido,3,80.0,presente,0.0,,ausente,0.7,62.0,medido
J69zkLXjNVg,Francia vs Senegal  (3-1) | Resumen y goles | Highlights Copa Mundial de la FIFA 2026™,DAZN ES,deporte_gaming,corto,3.5,143.1,47.0,medido,2.22,51.0,medido,0.0,,ausente,0.6075,80.0,medido,6.05,28.0,medido,3,80.0,presente,0.0,,ausente,0.444,20.0,medido
kgaS_kikD2E,TRUMP SE RETIRA DE IRÁN pero Israel quiere seguir luchando - @SoloFonseca,Solo Fonseca,informativo,largo,30.6,202.2,94.0,medido,1.83,37.0,medido,1.13,60.0,presente,0.6019,76.0,medido,15.86,87.0,medido,1,55.0,presente,0.65,37.0,presente,0.75,54.0,medido
xydz3tzNrgk,El MUSEO MÁS RARO del MUNDO… y NADIE Cree Lo Que Hay Dentro 😳,Antonio García Villarán,informativo,medio,16.8,159.9,63.0,medido,1.57,30.0,medido,0.37,23.0,presente,0.551,35.0,medido,16.4,89.0,medido,4,84.0,presente,1.12,63.0,presente,0.667,43.0,medido
KExzdwvtk9w,Canadá vs Qatar  (6-0) | Resumen y goles | Highlights Copa Mundial de la FIFA 2026™,DAZN Fútbol,deporte_gaming,corto,3.5,126.3,27.0,medido,1.13,13.0,medido,0.0,,ausente,0.55,34.0,medido,6.79,34.0,medido,1,47.0,presente,0.0,,ausente,0.222,4.0,medido
a62HpQpVBh8,Internet Estaba A Semanas Del Desastre y Nadie Lo Sabía,Veritasium en español,informativo,largo,51.5,162.0,65.0,medido,2.35,60.0,medido,2.52,88.0,presente,0.63,94.0,medido,8.15,42.0,medido,1,55.0,presente,0.24,12.0,presente,1.0,100.0,medido
ic2A-IAGMcE,MYKE TOWERS || BZRP Music Sessions #42/66,Bizarrap,entretenimiento,corto,6.6,82.4,7.0,medido,0.92,20.0,medido,0.0,,ausente,0.58,62.0,medido,5.55,24.0,medido,0,,ausente,0.0,,ausente,0.0,3.0,medido
V5NIul16bMA,SÁNCHEZ ACORRALADO! El JUEZ ordena que RETIREN el PASAPORTE a su MUJER - @SoloFonseca,Solo Fonseca,informativo,medio,28.0,196.8,93.0,medido,1.91,40.0,medido,2.9,90.0,presente,0.6057,78.0,medido,13.25,79.0,medido,5,84.0,presente,0.73,40.0,presente,0.625,37.0,medido
Q9ZGC9Nrh90,Tigre 1 vs. 0 River Plate | #TorneoClausura2026 | Resumen | Fecha 4,AFA Play,deporte_gaming,medio,12.3,106.2,17.0,medido,0.99,8.0,medido,0.0,,ausente,0.5372,25.0,medido,1.52,5.0,medido,1,47.0,presente,0.0,,ausente,0.333,11.0,medido
kRadm8kpbnE,EMILIO MOREIRA: “Es muy difícil hablar porque voy a volver loco al país” | EL BUSCADOR,HISPA,entretenimiento,largo,79.7,191.9,90.0,medido,2.66,90.0,medido,0.26,15.0,presente,0.5811,63.0,medido,11.37,67.0,medido,0,,ausente,0.0,,ausente,0.875,79.0,medido
