frame_version,formato,duracion,descriptor,n_util,p33,p50,p67,min,max,fallback_global
mm-2026-08-v1,entretenimiento,corto,enlaces_externos,22,0.0,0.0,1.0,0.0,5.0,False
mm-2026-08-v1,entretenimiento,corto,promocional_1000w,22,0.0,0.0,0.0,0.0,9.19,False
mm-2026-08-v1,entretenimiento,corto,cobertura_titulo,22,0.333,0.5635,0.714,0.0,1.0,False
mm-2026-08-v1,entretenimiento,medio,ritmo_ppm,28,129.3,139.85,157.0,75.2,196.6,False
mm-2026-08-v1,entretenimiento,medio,cifras_100w,28,1.28,1.425,1.71,0.29,3.7,False
mm-2026-08-v1,entretenimiento,medio,atribucion_1000w,28,0.0,0.0,0.36,0.0,2.16,False
mm-2026-08-v1,entretenimiento,medio,mattr_200,28,0.5673,0.5744,0.5909,0.324,0.6784,False
mm-2026-08-v1,entretenimiento,medio,conectores_1000w,28,5.67,8.435,10.92,0.0,23.27,False
mm-2026-08-v1,entretenimiento,medio,enlaces_externos,28,0.0,1.0,1.0,0.0,25.0,False
mm-2026-08-v1,entretenimiento,medio,promocional_1000w,28,0.0,0.0,0.51,0.0,1.66,False
mm-2026-08-v1,entretenimiento,medio,cobertura_titulo,28,0.4,0.6125,0.75,0.0,1.0,False
mm-2026-08-v1,entretenimiento,largo,ritmo_ppm,30,123.5,143.4,157.6333,73.2,221.4,False
mm-2026-08-v1,entretenimiento,largo,cifras_100w,30,1.5367,1.625,1.8133,0.79,5.45,False
mm-2026-08-v1,entretenimiento,largo,atribucion_1000w,30,0.1733,0.295,0.42,0.0,1.77,False
mm-2026-08-v1,entretenimiento,largo,mattr_200,30,0.5511,0.5735,0.5942,0.5077,0.6539,False
mm-2026-08-v1,entretenimiento,largo,conectores_1000w,30,7.3733,8.88,10.3833,3.51,20.45,False
mm-2026-08-v1,entretenimiento,largo,enlaces_externos,30,0.0,0.0,1.0,0.0,6.0,False
mm-2026-08-v1,entretenimiento,largo,promocional_1000w,30,0.0,0.09,0.1433,0.0,0.68,False
mm-2026-08-v1,entretenimiento,largo,cobertura_titulo,30,0.5373,0.6125,0.8,0.0,1.0,False
mm-2026-08-v1,deporte_gaming,corto,ritmo_ppm,28,144.9,153.75,163.1,71.3,233.8,False
mm-2026-08-v1,deporte_gaming,corto,cifras_100w,28,1.42,1.875,2.43,0.53,16.46,False
mm-2026-08-v1,deporte_gaming,corto,atribucion_1000w,28,0.0,0.0,0.0,0.0,2.99,False
mm-2026-08-v1,deporte_gaming,corto,mattr_200,28,0.5423,0.5834,0.6035,0.45,0.6488,False
mm-2026-08-v1,deporte_gaming,corto,conectores_1000w,28,4.37,8.015,10.73,0.0,25.28,False
mm-2026-08-v1,deporte_gaming,corto,enlaces_externos,28,0.0,0.0,0.0,0.0,3.0,False
mm-2026-08-v1,deporte_gaming,corto,promocional_1000w,28,0.0,0.585,1.21,0.0,6.95,False
mm-2026-08-v1,deporte_gaming,corto,cobertura_titulo,28,0.5,0.556,0.625,0.0,1.0,False
mm-2026-08-v1,deporte_gaming,medio,ritmo_ppm,30,135.4,166.1,178.3333,77.7,236.9,False
mm-2026-08-v1,deporte_gaming,medio,cifras_100w,30,1.77,1.91,2.4467,0.69,4.92,False
mm-2026-08-v1,deporte_gaming,medio,atribucion_1000w,30,0.0,0.0,0.3433,0.0,2.07,False
mm-2026-08-v1,deporte_gaming,medio,mattr_200,30,0.5638,0.5739,0.5914,0.5033,0.6446,False
mm-2026-08-v1,deporte_gaming,medio,conectores_1000w,30,9.1267,10.115,11.2567,1.83,24.39,False
mm-2026-08-v1,deporte_gaming,medio,enlaces_externos,30,1.0,1.0,2.0,0.0,26.0,False
mm-2026-08-v1,deporte_gaming,medio,promocional_1000w,30,0.0,0.33,0.6633,0.0,2.89,False
mm-2026-08-v1,deporte_gaming,medio,cobertura_titulo,30,0.6,0.667,0.75,0.0,1.0,False
mm-2026-08-v1,deporte_gaming,largo,ritmo_ppm,29,123.5,139.7,160.5,68.7,198.6,False
mm-2026-08-v1,deporte_gaming,largo,cifras_100w,29,1.7167,2.35,2.5433,0.65,5.76,False
mm-2026-08-v1,deporte_gaming,largo,atribucion_1000w,29,0.0,0.12,0.1567,0.0,1.13,False
mm-2026-08-v1,deporte_gaming,largo,mattr_200,29,0.5323,0.5498,0.5604,0.4761,0.6094,False
mm-2026-08-v1,deporte_gaming,largo,conectores_1000w,29,7.1867,9.07,11.0567,2.19,18.52,False
mm-2026-08-v1,deporte_gaming,largo,enlaces_externos,29,0.0,1.0,1.6667,0.0,11.0,False
mm-2026-08-v1,deporte_gaming,largo,promocional_1000w,29,0.0833,0.16,0.2467,0.0,1.09,False
mm-2026-08-v1,deporte_gaming,largo,cobertura_titulo,29,0.561,0.667,0.8,0.25,1.0,False
