id,external_id,title,channel,duration_seconds,stratum_format,stratum_duration,sampling_source,v_tiene_transcripcion,v_fuente_transcripcion,v_transcripcion_auto,v_palabras_por_signo,v_tiene_puntuacion,v_cobertura_transcripcion,v_transcripcion_completa,v_tiene_metadatos,v_tiene_descripcion,v_apto_panel,ritmo_ppm,ritmo_cv,p_tramo_silencioso,palabras_por_frase,preguntas_1000w,mattr_200,p_palabras_contenido,hapax_ratio,long_media_palabra,muletillas_1000w,cifras_100w,anios_1000w,porcentajes_1000w,unidades_1000w,atribucion_1000w,conectores_1000w,matizadores_1000w,absolutos_1000w,ratio_matiz_absoluto,marcadores_estructura_1000w,capitulos_10min,tiene_indice,cta_1000w,patrocinio_1000w,anticipacion_1000w,promocional_1000w,enlaces_total,enlaces_externos,enlaces_fuente,tiene_fuentes_externas,desc_caracteres,desc_timestamps,titulo_palabras_clave,cobertura_titulo,foco_promesa,densidad_tema_100w,n_tags,titulo_p_mayusculas,titulo_exclamaciones,titulo_es_pregunta,titulo_superlativos,titulo_numero_lista,titulo_banderas,et_porcion,et_formato,et_caducidad,et_promesa,et_trazabilidad,et_navegabilidad,et_calidad_dato,et_idioma,et_categoria_yt
298,eiFPd3fPhQ0,Regalos al alma 💫 - Claro que es necesario que aprendamos a querernos,Florencia Restrepo Erlich,226,entretenimiento,corto,busqueda_semilla,1,youtube_auto,1,,0,0.93,1,1,1,1,139.9,0.23,0.0,,,0.5157,0.436,0.585,4.11,1.9,0.57,0.0,0.0,0.0,0.0,13.28,0.0,15.18,0.032,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,193,0,6,0.833,0.0,1.52,0,0.036,0,0,0,0,0,corto,sin_clasificar,perenne,declarativa,sin_enlaces,bloque_continuo,transcripcion_automatica,es,Entertainment
319,kVl-vE4dSEU,"Aunque No Quieran - Mc KarryWs Ft Li M ""JOKER HEART 🤡"" #RFLDG",Rf MusicTV,210,entretenimiento,corto,busqueda_semilla,1,youtube_auto,1,,0,0.67,1,1,1,1,101.1,0.539,0.143,,,0.455,0.407,0.778,4.19,2.82,0.0,0.0,0.0,0.0,0.0,28.25,0.0,2.82,0.151,0.0,0.0,0,0.0,0.0,0.0,0.0,2,0,0,0,321,0,6,0.333,0.042,3.39,0,0.545,0,0,0,0,1,corto,sin_clasificar,perenne,declarativa,solo_enlaces_propios,bloque_continuo,transcripcion_automatica,es,Music
320,O3YKcgE2Ahw,Sonora Skandalo   No Te Vayas Nunca,Sonora Skandalo,243,entretenimiento,corto,busqueda_semilla,1,youtube_auto,1,,0,0.38,0,1,1,0,57.3,0.55,0.222,,,0.375,0.418,0.635,3.79,4.31,3.02,0.0,0.0,0.0,0.0,0.0,0.0,51.72,0.01,0.0,0.0,0,0.0,0.0,47.41,0.0,4,1,0,1,200,0,4,0.75,0.009,9.91,7,0.214,0,0,0,0,0,corto,sin_clasificar,perenne,declarativa,con_enlaces_externos,bloque_continuo,transcripcion_parcial,es,Music
321,6-0A4WELAIE,🟠 [REGGAETON] Lennis Rodriguez X Omar Montes X Chus Santana - Aunque No Te Pueda Ver,La Hacienda Music,218,entretenimiento,corto,busqueda_semilla,1,youtube_auto,1,,0,0.57,1,1,1,1,86.1,0.528,0.125,,,0.5617,0.396,0.792,3.95,6.39,1.6,0.0,6.39,0.0,0.0,6.39,0.0,3.19,0.136,0.0,0.0,0,0.0,0.0,0.0,0.0,4,4,0,1,3862,0,9,0.111,0.607,0.32,0,0.338,0,0,0,0,0,corto,sin_clasificar,perenne,declarativa,con_enlaces_externos,bloque_continuo,transcripcion_automatica,es,Music
322,pSDQw9OEmj0,ICEBERG DE HUMILLACIONES DE: GENTE QUE SE HUMILLA SOLA,TG Winter,523,entretenimiento,corto,busqueda_semilla,1,youtube_auto,1,,0,0.96,1,1,1,1,143.3,0.247,0.056,,,0.5598,0.433,0.752,4.11,32.03,1.04,0.0,0.0,2.4,0.8,20.02,1.6,8.81,0.226,0.8,0.0,0,0.8,0.0,0.0,0.8,0,0,0,0,174,0,5,1.0,0.002,1.2,11,1.0,0,0,0,0,1,corto,sin_clasificar,perenne,declarativa,sin_enlaces,bloque_continuo,transcripcion_automatica,es,Entertainment
297,bTzX5YqZ6zM,Hablamos en español con Emily Blunt y Colman Domingo,Ivan Hachez,262,entretenimiento,corto,chart_canal,1,youtube_auto,1,9.9,1,1.29,1,1,1,1,193.1,0.225,0.0,9.9,14.23,0.59,0.97,0.688,4.41,1.19,0.95,0.0,0.0,2.37,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,1,0,1,218,0,6,0.667,0.0,0.71,6,0.114,0,0,0,0,0,corto,sin_clasificar,perenne,declarativa,con_enlaces_externos,bloque_continuo,transcripcion_automatica,en,Film & Animation
296,KX20TtpC8G0,🎭 ¿Cuánto Sabes del Chavo del 8? 🤔 | ¡Reto Quiz con Sopa de Letras!,Mas Trivia Quiz,575,entretenimiento,corto,busqueda_semilla,1,youtube_auto,1,,0,0.45,1,1,1,1,68.1,0.387,0.05,,,0.544,0.502,0.712,4.31,3.06,5.82,1.53,0.0,6.13,0.0,0.0,3.06,4.59,0.699,0.0,0.0,0,9.19,0.0,0.0,9.19,2,0,0,0,2359,0,7,0.857,0.006,3.83,24,0.156,2,1,0,0,1,corto,sin_clasificar,perenne,pregunta,solo_enlaces_propios,bloque_continuo,transcripcion_automatica,es,Entertainment
302,4X0JZh1Cxvg,"Mi padrastro apostó mi futuro porque yo no era su familia real. Entonces, le mostré lo que eso....",ArniChica,169,entretenimiento,corto,busqueda_semilla,1,youtube_auto,1,20.5,1,1.69,0,1,1,0,254.2,0.178,0.0,20.5,0.0,0.6486,0.527,0.829,4.71,0.0,2.93,0.0,0.0,8.38,0.0,8.38,1.4,1.4,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,365,0,6,1.0,0.001,1.26,0,0.027,0,0,0,0,0,corto,sin_clasificar,perenne,declarativa,sin_enlaces,bloque_continuo,transcripcion_parcial,es,Entertainment
301,tLb1I1DCqjg,¿Hacen las paces? Coco Carreño abrió la puerta para una reconciliación con Maru Botana,eltrece,196,entretenimiento,corto,chart_canal,1,youtube_auto,1,8.3,1,1.21,1,1,1,1,181.2,0.226,0.0,8.3,16.89,0.5713,0.443,0.78,3.92,33.78,3.04,10.14,0.0,10.14,1.69,10.14,0.0,3.38,0.129,1.69,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0,150,0,9,0.556,0.01,1.52,22,0.07,0,1,0,0,0,corto,sin_clasificar,perecedero,pregunta,solo_enlaces_propios,bloque_continuo,transcripcion_automatica,es,Entertainment
305,gDF99qnJuEE,CONSEGUIR CUALQUIER JUEGO GRATIS 2021 😱😱,Activen,344,entretenimiento,corto,busqueda_semilla,1,youtube_auto,1,,0,0.5,1,1,1,1,75.0,0.383,0.0,,,0.614,0.474,0.829,4.53,30.23,2.56,0.0,0.0,6.98,0.0,13.95,0.0,4.65,0.097,0.0,0.0,0,0.0,0.0,0.0,0.0,2,2,0,1,478,0,5,0.6,0.042,1.4,28,1.0,0,0,0,0,1,corto,sin_clasificar,perecedero,declarativa,con_enlaces_externos,bloque_continuo,transcripcion_automatica,es,Entertainment
